stage,user_raw_input,extracted_value
INJURIES,Dealing with shoulder impingement,shoulder impingement
GOAL,tone up,tone up
ALLERGIES,I eat everything,none
EQUIPMENT,home gym,home gym
CONFIRMATION,That is wrong,no
INJURIES,I have a tennis elbow,tennis elbow
EQUIPMENT,I workout at a bodyweight,bodyweight
CONSENT,No,no
CONFIRMATION,Incorrect,no
CONFIRMATION,Perfect,yes
LEVEL,I'd say novice,novice
HEIGHT,I am 165 centimeters,165
EQUIPMENT,I only have kettlebells,kettlebells
ALLERGIES,I'm allergic to peanuts,peanut
LEVEL,Just a intermediate,intermediate
LEVEL,Pretty much a advanced,advanced
CONFIRMATION,I need to change something,no
GREETING,Give me a minute,no
LEVEL,Just a pro,pro
WEIGHT,About 264,264
ALLERGIES,I am gluten,gluten
DAYS,I have 4 days free,4
ALLERGIES,I am peanut,peanut
CONFIRMATION,Perfect,yes
LEVEL,intermediate,intermediate
DAYS,5 days,5
ALLERGIES,peanut,peanut
LEVEL,I am a beginner,beginner
CONFIRMATION,No,no
LEVEL,Pretty much a intermediate,intermediate
ALLERGIES,I have a lactose intolerant allergy,lactose intolerant
CONFIRMATION,Go ahead,yes
HEIGHT,155 cm,155
ALLERGIES,Nah,none
CONFIRMATION,Perfect,yes
INJURIES,Dealing with twisted ankle,twisted ankle
WEIGHT,Around 202,202
LEVEL,I'd say advanced,advanced
HEIGHT,191 cm,191
EQUIPMENT,kettlebells,kettlebells
AGE,I'm 62,62
WEIGHT,I weigh 104 lbs,104
GOAL,My goal is to burn fat,burn fat
EQUIPMENT,I workout at a dumbbells,dumbbells
INJURIES,I'm perfectly healthy,none
HEIGHT,180 cm,180
LEVEL,I am a intermediate,intermediate
GREETING,Give me a minute,no
AGE,I'm 40,40
EQUIPMENT,I have access to home gym,home gym
LEVEL,Pretty much a novice,novice
INJURIES,Dealing with tennis elbow,tennis elbow
EQUIPMENT,I have access to resistance bands,resistance bands
EQUIPMENT,Just bodyweight,bodyweight
LEVEL,I'd say beginner,beginner
CONSENT,Nope,no
HEIGHT,I am 157 centimeters,157
CONFIRMATION,Looks good,yes
GREETING,Nah,no
HEIGHT,169 cm,169
CONSENT,Sure,yes
CONFIRMATION,Looks good,yes
EQUIPMENT,I have access to full gym,full gym
ALLERGIES,I'm allergic to glutens,gluten
INJURIES,My twisted ankle hurts sometimes,twisted ankle
LEVEL,I am a beginner,beginner
EQUIPMENT,home gym,home gym
HEIGHT,177 cm,177
GREETING,Yes I am,yes
LEVEL,I'd say novice,novice
DAYS,I can do 3 days a week,3
ALLERGIES,I have a vegan allergy,vegan
AGE,40,40
ALLERGIES,gluten,gluten
CONSENT,Yes,yes
DAYS,I have 4 days free,4
LEVEL,Pretty much a pro,pro
INJURIES,Dealing with lower back pain,lower back pain
WEIGHT,Around 177,177
HEIGHT,161 cm,161
DAYS,About 3 days,3
LEVEL,I'd say beginner,beginner
HEIGHT,182 cm,182
HEIGHT,171,171
EQUIPMENT,I have access to home gym,home gym
